,Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
3918,M3,2024,Middle East,Black,Diesel,Automatic,3.0,10914,80568,6663,Low
38478,X3,2019,North America,Black,Electric,Automatic,1.8,156449,33332,9113,High
21123,M3,2012,Europe,Blue,Electric,Manual,5.0,97688,114948,4057,Low
49717,7 Series,2010,Middle East,Black,Hybrid,Automatic,4.9,198534,41406,2330,Low
42294,M3,2011,Europe,Silver,Hybrid,Automatic,1.6,154581,114262,5600,Low
47609,i8,2017,Europe,Black,Electric,Manual,3.4,191243,103848,7231,High
11076,X5,2015,Europe,Blue,Diesel,Manual,4.9,96804,53290,1136,Low
41514,X1,2019,Middle East,Grey,Hybrid,Automatic,3.1,148698,45175,9237,High
22062,5 Series,2019,South America,Silver,Petrol,Automatic,2.5,186173,84628,3924,Low
9413,i3,2010,Middle East,Grey,Hybrid,Manual,3.1,35552,50032,5425,Low
38340,M5,2010,Europe,White,Hybrid,Manual,3.5,183862,72607,4599,Low
30263,3 Series,2013,Middle East,Blue,Diesel,Automatic,4.5,190463,48433,1752,Low
41252,X5,2012,Africa,Blue,Hybrid,Automatic,2.9,30751,104552,3174,Low
14644,i8,2014,Africa,White,Petrol,Automatic,5.0,100229,66795,2248,Low
26335,5 Series,2024,North America,Blue,Hybrid,Automatic,3.3,80752,46642,101,Low
28102,X3,2021,Europe,Blue,Petrol,Manual,3.2,173545,103415,8723,High
17523,5 Series,2016,Europe,White,Petrol,Manual,3.6,124544,60428,2113,Low
24712,X5,2023,Africa,Red,Petrol,Automatic,2.5,32034,98886,5959,Low
40485,7 Series,2024,Europe,Blue,Electric,Manual,1.6,170605,54167,3620,Low
3850,M3,2022,North America,Black,Electric,Manual,4.8,77763,44059,7149,High
40040,X1,2015,Africa,Blue,Petrol,Manual,4.2,172358,98110,6972,Low
15267,i8,2018,Europe,Silver,Hybrid,Automatic,3.9,3720,87393,2562,Low
49146,i8,2015,North America,Grey,Petrol,Automatic,4.9,117776,98294,8125,High
30001,X5,2023,Asia,Black,Hybrid,Manual,3.2,142865,92920,9909,High
45926,3 Series,2013,North America,Grey,Electric,Automatic,3.7,184410,82561,6948,Low
43824,i3,2020,South America,Silver,Electric,Manual,2.8,77710,93156,3902,Low
17240,X5,2015,Europe,White,Petrol,Automatic,3.2,178964,60044,7140,High
4892,7 Series,2023,Asia,Red,Diesel,Manual,3.0,85431,78773,8783,High
725,i8,2017,Europe,White,Petrol,Automatic,1.6,187653,56981,3345,Low
22949,M3,2015,South America,Grey,Petrol,Automatic,3.8,149700,48739,9917,High
34657,7 Series,2010,Asia,Red,Electric,Manual,2.5,55153,108078,9520,High
37213,X3,2019,Asia,Blue,Electric,Manual,3.5,37514,116549,184,Low
20304,M3,2014,Asia,Red,Electric,Manual,4.7,154196,63469,3667,Low
15269,M3,2015,Middle East,Red,Petrol,Manual,3.1,126454,31935,9667,High
22367,X3,2023,Europe,Grey,Petrol,Automatic,4.2,88143,56190,2921,Low
42684,M5,2021,Europe,Blue,Petrol,Automatic,4.5,164001,74923,653,Low
46734,X1,2024,Middle East,Blue,Hybrid,Manual,3.9,159019,49211,287,Low
11732,X5,2019,Asia,Black,Petrol,Automatic,2.7,147099,59546,2163,Low
18619,3 Series,2022,Europe,Blue,Electric,Automatic,2.0,158006,84318,6793,Low
48492,X1,2018,Europe,White,Electric,Automatic,4.0,86705,87281,3299,Low
26803,3 Series,2010,Europe,Silver,Hybrid,Manual,2.0,113518,93180,7827,High
44305,5 Series,2012,Europe,Red,Hybrid,Automatic,4.3,191181,50141,8389,High
47522,M5,2013,Europe,Silver,Hybrid,Automatic,2.3,12452,85515,929,Low
32207,3 Series,2015,Middle East,Black,Petrol,Manual,2.2,39894,109819,6111,Low
2530,i3,2014,South America,Red,Diesel,Manual,1.7,93618,115867,7743,High
17746,7 Series,2016,Africa,Silver,Electric,Manual,4.1,189680,79867,2298,Low
8270,i8,2023,Asia,Black,Diesel,Automatic,2.1,12698,66627,8265,High
15079,M5,2024,North America,Blue,Diesel,Automatic,1.5,139435,118281,1645,Low
13624,i3,2019,Middle East,Blue,Electric,Automatic,2.6,2488,99979,4559,Low
30638,X5,2017,Africa,Silver,Diesel,Automatic,2.0,196730,55612,6447,Low
30440,3 Series,2010,Middle East,Red,Petrol,Automatic,4.7,194797,58067,5587,Low
36056,3 Series,2022,Europe,White,Diesel,Manual,3.8,127315,39230,2522,Low
42651,X3,2022,Europe,Red,Petrol,Manual,4.2,92377,39471,710,Low
36803,5 Series,2016,Middle East,White,Petrol,Automatic,4.6,154615,49057,5719,Low
48224,X6,2018,Middle East,Grey,Hybrid,Manual,4.9,109348,48030,6728,Low
29226,X1,2011,Middle East,Red,Hybrid,Manual,2.0,159702,70585,4672,Low
5633,3 Series,2010,North America,Silver,Diesel,Manual,2.1,163796,43735,6683,Low
5987,i8,2014,South America,Blue,Hybrid,Automatic,3.0,187742,41041,3900,Low
48063,X1,2019,Asia,Silver,Diesel,Automatic,3.1,169362,33308,5703,Low
1812,X1,2022,Middle East,Red,Petrol,Manual,1.9,191487,40012,7265,High
27578,i8,2020,Europe,Grey,Diesel,Automatic,3.5,80024,80502,7270,High
16823,M5,2013,Asia,White,Hybrid,Manual,4.7,45701,68961,5851,Low
3928,3 Series,2013,Europe,White,Petrol,Automatic,1.6,9149,70832,608,Low
37286,X6,2013,Asia,Black,Diesel,Manual,3.9,171009,112081,9715,High
25045,X3,2023,Africa,Blue,Petrol,Automatic,1.9,148681,108986,5803,Low
15727,M5,2021,North America,Grey,Diesel,Manual,3.9,36455,98299,2830,Low
29600,X5,2014,North America,Silver,Hybrid,Automatic,4.4,89873,110813,9169,High
10430,M3,2014,Asia,Grey,Diesel,Manual,3.7,95285,111875,8929,High
25768,M3,2010,Asia,Silver,Electric,Automatic,2.6,64444,39426,224,Low
29103,3 Series,2013,South America,Grey,Electric,Automatic,3.0,44197,110615,1331,Low
36537,5 Series,2015,South America,Silver,Electric,Manual,1.9,164561,72734,9845,High
39328,5 Series,2013,North America,Silver,Petrol,Manual,2.1,117661,69541,2419,Low
35539,X1,2021,North America,Black,Electric,Manual,2.4,64107,54819,3327,Low
28075,X6,2020,North America,Blue,Electric,Manual,3.1,104254,35152,9272,High
17840,X6,2014,Europe,Grey,Petrol,Manual,3.8,151875,73133,1491,Low
27802,i8,2020,Africa,White,Diesel,Automatic,2.4,68757,102492,8169,High
7682,5 Series,2011,South America,Blue,Petrol,Manual,2.4,118881,77598,5321,Low
24279,M5,2011,Asia,Silver,Hybrid,Manual,4.1,184365,79621,7434,High
33070,X5,2018,Africa,Silver,Diesel,Manual,4.3,88189,77832,3488,Low
35557,5 Series,2021,Asia,White,Electric,Automatic,4.9,155410,117570,3048,Low
37189,5 Series,2016,Middle East,Red,Hybrid,Automatic,3.0,122132,40793,6400,Low
47149,i8,2024,South America,Grey,Petrol,Automatic,2.2,26952,81742,7099,High
46915,M5,2013,North America,Silver,Diesel,Manual,4.1,172783,61517,3640,Low
9801,3 Series,2013,Asia,Red,Diesel,Manual,3.9,16656,75048,8101,High
38800,X6,2017,South America,White,Diesel,Manual,2.2,95648,119986,2285,Low
24669,i3,2017,Africa,White,Hybrid,Manual,3.8,164998,110945,7817,High
44233,3 Series,2016,North America,Grey,Petrol,Manual,2.4,90212,110803,1193,Low
31919,M3,2019,Europe,Grey,Hybrid,Manual,4.1,169073,62981,4642,Low
7134,3 Series,2010,North America,White,Hybrid,Automatic,1.9,196370,54355,5448,Low
33704,5 Series,2017,Middle East,Silver,Petrol,Automatic,2.2,161652,65102,9052,High
29660,X1,2019,Asia,Grey,Hybrid,Automatic,3.6,174747,119300,6963,Low
17893,X3,2011,Middle East,Black,Hybrid,Automatic,4.0,148712,75560,6844,Low
22018,X5,2021,Middle East,White,Petrol,Automatic,4.4,156757,77864,8983,High
13538,i3,2019,Middle East,White,Petrol,Manual,3.8,166560,88189,568,Low
43118,3 Series,2024,Middle East,Blue,Diesel,Manual,4.1,66887,113281,9870,High
36420,7 Series,2018,Europe,Black,Electric,Automatic,2.9,15007,117156,3233,Low
9405,X1,2016,Africa,Black,Electric,Manual,4.8,45280,73266,6872,Low
13413,M3,2011,South America,Red,Petrol,Manual,4.1,9009,60387,5383,Low
6720,i3,2024,Africa,Silver,Hybrid,Manual,4.6,107855,42714,2530,Low
15601,M5,2020,Middle East,Black,Diesel,Manual,1.8,27634,96012,1188,Low
44743,X5,2024,North America,Silver,Electric,Manual,3.6,112915,119416,6146,Low
31138,3 Series,2018,North America,Blue,Diesel,Manual,2.2,118107,46330,2764,Low
2729,X1,2011,Africa,Silver,Electric,Manual,2.7,77244,70878,1066,Low
38242,7 Series,2017,Africa,Black,Petrol,Manual,3.6,31935,108007,1058,Low
29625,3 Series,2024,Asia,Red,Hybrid,Automatic,4.2,46980,94964,7268,High
47894,X5,2016,Europe,White,Petrol,Automatic,5.0,145326,62712,7696,High
42090,X3,2019,South America,Black,Electric,Manual,1.6,86842,56085,8651,High
36399,X1,2017,North America,Silver,Hybrid,Automatic,4.0,137202,81774,6361,Low
6244,i8,2019,Asia,Blue,Diesel,Automatic,3.6,85763,72815,809,Low
5545,3 Series,2023,Africa,Black,Hybrid,Manual,2.2,41574,98324,506,Low
4064,M3,2012,Asia,Silver,Petrol,Manual,3.3,135560,49370,676,Low
12851,X6,2011,North America,Silver,Diesel,Automatic,1.6,18817,78895,4544,Low
21802,X1,2010,Africa,Red,Petrol,Manual,2.0,154245,110246,3849,Low
41163,X5,2014,Middle East,Black,Petrol,Manual,3.0,123105,35923,5083,Low
6232,X6,2012,South America,Red,Electric,Manual,3.1,104696,113919,862,Low
3862,7 Series,2015,Middle East,Grey,Hybrid,Manual,3.4,187728,93492,4249,Low
35094,7 Series,2016,Europe,Silver,Diesel,Manual,3.4,190571,70282,9212,High
40195,i8,2011,South America,Black,Diesel,Automatic,1.7,56960,108415,8207,High
39250,X6,2015,Middle East,Silver,Hybrid,Manual,2.7,80273,42454,9653,High
6217,3 Series,2010,Africa,Grey,Diesel,Manual,2.8,2911,42067,6376,Low
36775,7 Series,2021,Africa,Blue,Petrol,Manual,1.6,80684,68599,6736,Low
42976,M3,2022,North America,Silver,Diesel,Manual,2.0,67228,37167,6273,Low
48467,X1,2019,Middle East,Blue,Diesel,Manual,4.3,18345,93482,4692,Low
14831,3 Series,2022,North America,Black,Hybrid,Manual,4.1,108358,53352,3104,Low
30092,M5,2017,Africa,Silver,Diesel,Automatic,3.6,158706,94699,5215,Low
8893,i8,2017,Europe,Grey,Hybrid,Manual,4.5,71698,58156,1456,Low
6020,7 Series,2022,Asia,Silver,Electric,Manual,4.7,86118,66413,1669,Low
46088,M3,2019,South America,Grey,Diesel,Manual,4.7,8823,89388,9830,High
15242,5 Series,2013,South America,Red,Diesel,Manual,3.6,95849,51110,1251,Low
45307,X5,2024,Middle East,Grey,Electric,Manual,4.4,23851,100327,1171,Low
26550,X1,2012,South America,White,Diesel,Manual,2.1,44006,77343,3440,Low
6034,X6,2014,North America,Black,Diesel,Manual,3.0,186719,106329,6771,Low
7905,3 Series,2017,North America,Red,Hybrid,Manual,4.8,184972,111559,6676,Low
32225,3 Series,2016,South America,Blue,Hybrid,Manual,3.3,187892,87329,7879,High
6017,M3,2013,Middle East,Black,Petrol,Manual,4.3,160444,56122,1728,Low
21879,i8,2018,North America,Blue,Petrol,Automatic,3.7,158716,103601,2176,Low
2791,i3,2012,North America,Red,Petrol,Manual,2.3,62529,49625,3910,Low
42605,X5,2024,North America,White,Diesel,Manual,3.2,17099,98018,8804,High
5823,7 Series,2022,North America,Black,Diesel,Manual,2.8,157407,66838,6931,Low
15387,5 Series,2010,Asia,Red,Diesel,Automatic,2.4,102424,112050,1990,Low
29561,M5,2019,North America,Silver,Diesel,Manual,2.3,76913,59287,5847,Low
39475,7 Series,2020,South America,Blue,Diesel,Manual,1.8,85718,96102,1518,Low
292,i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288,Low
16957,X3,2011,Europe,Blue,Petrol,Manual,4.2,195748,50559,1221,Low
30860,M3,2023,South America,Blue,Diesel,Automatic,2.6,23130,119655,2591,Low
14073,3 Series,2014,Africa,Grey,Hybrid,Automatic,4.0,161102,32433,6177,Low
21856,X3,2013,Europe,Blue,Petrol,Automatic,4.9,181683,30173,9036,High
22079,X5,2014,Africa,Black,Hybrid,Manual,5.0,144209,77852,4106,Low
17023,i8,2022,South America,Black,Diesel,Manual,3.3,133622,38777,8161,High
8739,X1,2016,Middle East,White,Electric,Manual,2.1,122129,72227,1539,Low
15825,3 Series,2024,North America,Black,Hybrid,Manual,4.8,115134,60548,8403,High
2741,X3,2017,Middle East,Grey,Electric,Automatic,4.9,61936,38632,1497,Low
18048,3 Series,2020,North America,Black,Hybrid,Manual,2.1,144277,79863,7015,High
49936,7 Series,2020,Europe,Grey,Electric,Manual,3.1,118419,71977,5932,Low
17372,5 Series,2020,Asia,Grey,Diesel,Manual,3.8,89915,30178,383,Low
22021,i3,2014,Asia,Silver,Petrol,Automatic,3.0,10696,52926,4005,Low
46364,X3,2014,Asia,Black,Petrol,Manual,2.5,26239,83264,3417,Low
23537,M5,2022,Middle East,Grey,Electric,Automatic,4.0,53485,112168,3853,Low
45499,i3,2011,North America,White,Hybrid,Automatic,2.3,111339,67789,1863,Low
40185,X3,2010,Africa,Silver,Electric,Manual,4.2,50981,78452,3240,Low
9613,3 Series,2016,Europe,Blue,Electric,Automatic,3.9,111934,46044,4320,Low
43281,3 Series,2014,Asia,Grey,Diesel,Automatic,3.4,92968,104912,9680,High
37891,M3,2021,North America,Black,Diesel,Automatic,4.5,51261,107117,9161,High
26178,X1,2014,North America,Grey,Hybrid,Manual,4.2,73437,45207,2739,Low
45892,X6,2018,Europe,Blue,Diesel,Manual,2.2,92050,73600,9761,High
20933,7 Series,2024,Asia,Black,Diesel,Automatic,2.4,41711,50469,8145,High
40971,X6,2023,Asia,White,Diesel,Automatic,1.7,173826,58279,1217,Low
22224,X5,2010,Africa,Grey,Diesel,Manual,3.7,177019,94240,610,Low
24381,M5,2012,Europe,Silver,Hybrid,Automatic,2.5,52708,93221,7899,High
34855,3 Series,2020,Africa,Blue,Diesel,Automatic,3.5,43829,111537,4585,Low
48577,M3,2018,South America,Red,Petrol,Manual,3.7,196202,117057,7584,High
38536,X1,2024,South America,Red,Petrol,Automatic,4.7,123256,60552,6797,Low
31755,X6,2016,Asia,Black,Diesel,Automatic,1.6,135882,78485,3370,Low
7753,7 Series,2015,Middle East,Red,Diesel,Manual,4.4,111324,62963,8624,High
46638,X6,2019,Africa,Blue,Petrol,Manual,4.5,129299,42773,4212,Low
43834,X1,2018,Asia,White,Electric,Manual,2.0,67279,107506,5099,Low
26235,X5,2017,North America,White,Electric,Manual,3.5,85031,93886,8085,High
44229,7 Series,2024,Europe,Blue,Diesel,Automatic,4.1,122096,107836,2277,Low
49596,M5,2019,North America,Red,Diesel,Automatic,2.9,123018,58824,7947,High
18552,X5,2012,Asia,Blue,Hybrid,Manual,3.8,104274,83530,6749,Low
43136,7 Series,2013,Asia,Red,Petrol,Manual,3.1,104753,30768,6935,Low
36672,3 Series,2013,Middle East,Black,Electric,Automatic,2.1,122960,49179,532,Low
43649,i8,2011,South America,Black,Petrol,Automatic,1.6,32853,65298,3263,Low
3940,3 Series,2012,North America,Blue,Hybrid,Automatic,4.0,133578,66286,8422,High
31496,X5,2011,Africa,Grey,Electric,Manual,2.0,183979,108106,3289,Low
26593,X6,2016,Africa,White,Electric,Manual,2.0,97788,50136,5245,Low
23921,X6,2012,Africa,Blue,Petrol,Automatic,2.8,28827,87097,6815,Low
26402,i3,2019,Middle East,Silver,Petrol,Manual,3.0,109638,52642,338,Low
45942,3 Series,2017,Europe,Silver,Electric,Manual,3.2,27260,71340,6806,Low
48525,5 Series,2013,Asia,Red,Hybrid,Automatic,3.4,162281,105748,9919,High
18315,X3,2014,South America,Silver,Electric,Manual,4.0,138795,45471,2274,Low
36893,7 Series,2024,North America,Red,Petrol,Manual,2.8,61165,115473,4931,Low
26695,X1,2019,Middle East,Grey,Hybrid,Manual,1.6,132604,37149,4614,Low
42127,5 Series,2015,Europe,Black,Diesel,Manual,1.6,212,117708,4147,Low
14170,X3,2023,South America,White,Electric,Automatic,1.5,179684,30109,5963,Low
3732,X1,2013,Europe,Grey,Petrol,Automatic,1.9,86442,88481,8159,High
7881,7 Series,2021,South America,Black,Diesel,Manual,1.5,130138,39495,292,Low
6016,5 Series,2019,Middle East,Blue,Electric,Manual,4.8,131877,80746,5349,Low
23029,X1,2015,South America,Grey,Diesel,Automatic,4.5,163366,33623,3927,Low
35473,3 Series,2013,South America,Red,Electric,Automatic,4.6,179809,64865,3265,Low
49685,i8,2010,North America,Grey,Electric,Automatic,2.4,84130,94199,9524,High
4817,X1,2022,Asia,Blue,Petrol,Automatic,2.9,187334,110031,5912,Low
41693,X6,2020,North America,White,Hybrid,Automatic,3.1,135112,31266,8689,High
12007,X1,2010,South America,Black,Petrol,Manual,3.8,74665,117101,7625,High
41327,M3,2011,Asia,Blue,Petrol,Manual,4.4,114088,50312,9324,High
9506,i3,2018,Asia,Grey,Petrol,Manual,2.2,30114,77208,7568,High
44798,X5,2017,Europe,Grey,Petrol,Manual,4.6,76879,56354,690,Low
34062,M3,2021,Middle East,White,Hybrid,Manual,4.2,196795,69240,3759,Low
27474,3 Series,2013,South America,Grey,Electric,Automatic,3.2,4700,75068,4561,Low
31143,i3,2024,South America,White,Hybrid,Automatic,3.0,108797,87082,224,Low
21235,M5,2020,Asia,Red,Hybrid,Automatic,4.6,62563,70006,9520,High
1390,5 Series,2024,North America,Silver,Electric,Manual,2.3,15733,117390,8994,High
38249,5 Series,2023,Asia,Silver,Diesel,Manual,2.1,6490,37549,6738,Low
37624,X6,2022,Asia,Red,Hybrid,Manual,4.5,189293,89089,1313,Low
42028,X1,2010,Asia,Silver,Hybrid,Manual,2.0,170498,75721,2790,Low
20834,3 Series,2021,South America,Blue,Diesel,Manual,4.7,191369,56438,5011,Low
14757,X1,2019,Middle East,Silver,Petrol,Automatic,4.4,174934,41229,2659,Low
26396,M3,2017,South America,Blue,Petrol,Manual,4.6,95710,54801,3595,Low
6808,X1,2018,Asia,Blue,Electric,Automatic,3.0,25088,44400,7357,High
9225,i8,2011,Asia,Silver,Electric,Manual,3.0,13288,88766,4113,Low
48394,X5,2010,Middle East,White,Diesel,Automatic,2.0,3743,62723,3506,Low
5395,7 Series,2018,Middle East,Blue,Hybrid,Manual,2.7,87202,40635,8321,High
6943,X1,2017,North America,Silver,Petrol,Automatic,4.3,44144,48708,5903,Low
23870,X6,2012,Africa,Red,Petrol,Manual,5.0,199792,30958,6364,Low
32492,X5,2013,South America,Blue,Hybrid,Manual,2.1,194272,46168,2233,Low
36345,M3,2022,North America,Blue,Petrol,Automatic,1.8,66999,49990,5447,Low
10755,3 Series,2022,Europe,Blue,Electric,Manual,3.0,59324,89782,4247,Low
12301,X5,2022,Middle East,Black,Hybrid,Manual,4.1,136521,99349,9174,High
48386,5 Series,2017,Europe,Blue,Hybrid,Manual,4.6,112880,61966,7685,High
42745,i8,2018,South America,Grey,Hybrid,Automatic,4.0,22093,70977,2394,Low
29089,i3,2013,Middle East,White,Electric,Automatic,2.3,3461,107985,6308,Low
44712,7 Series,2017,Middle East,Silver,Electric,Manual,4.3,110336,87094,1994,Low
14343,X5,2010,Africa,Black,Petrol,Automatic,4.8,183378,65917,3040,Low
38172,5 Series,2011,South America,Grey,Hybrid,Automatic,4.1,138435,58170,1397,Low
5071,7 Series,2013,North America,Silver,Hybrid,Manual,4.8,77904,63430,3085,Low
24121,3 Series,2017,South America,Blue,Hybrid,Automatic,4.4,16927,37128,5450,Low
48809,X6,2023,Middle East,White,Electric,Automatic,2.3,117271,68612,133,Low
17820,X5,2024,Middle East,Silver,Electric,Manual,4.4,62760,47199,2284,Low
1122,M3,2014,Africa,Grey,Electric,Automatic,4.5,36266,108677,8678,High
11264,X1,2018,Africa,Red,Petrol,Manual,3.1,175995,77722,1597,Low
30579,i3,2020,North America,Black,Electric,Automatic,4.0,137653,100390,8019,High
45464,M5,2022,Europe,White,Diesel,Manual,4.9,197097,59152,4225,Low
48216,7 Series,2020,Middle East,Blue,Petrol,Manual,1.8,30407,34857,2198,Low
43044,3 Series,2020,Asia,Red,Hybrid,Manual,1.8,189133,88279,999,Low
15656,X3,2015,South America,Silver,Electric,Manual,3.2,42893,101790,7780,High
1900,X5,2018,South America,Black,Diesel,Automatic,4.4,107997,64441,7881,High
147,3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070,High
29642,5 Series,2015,Europe,Grey,Diesel,Automatic,4.7,116159,80395,7968,High
3211,X5,2021,South America,Blue,Electric,Manual,3.8,195237,75303,8126,High
43850,X6,2011,Middle East,Grey,Diesel,Automatic,4.0,27070,42419,9470,High
2354,X6,2012,Europe,Silver,Hybrid,Automatic,1.9,55933,112819,6403,Low
31520,3 Series,2017,Asia,Silver,Electric,Manual,3.8,188133,101640,3226,Low
42583,M3,2016,Africa,Red,Electric,Automatic,4.3,188221,30455,5012,Low
43337,7 Series,2013,North America,Red,Hybrid,Manual,2.5,103941,42023,9316,High
45284,i3,2021,Africa,Blue,Diesel,Manual,1.9,24924,32613,9416,High
46956,M3,2022,Asia,White,Hybrid,Automatic,1.6,56262,73836,5590,Low
48790,i3,2024,Middle East,Black,Diesel,Automatic,3.8,139321,66501,6191,Low
36585,X3,2010,Asia,Black,Electric,Automatic,4.3,33864,87550,983,Low
10465,M5,2015,North America,White,Electric,Automatic,3.7,30893,33795,3923,Low
7821,3 Series,2014,Europe,Red,Diesel,Automatic,3.5,101462,64682,9257,High
7205,i3,2024,South America,Blue,Hybrid,Manual,2.5,45509,115138,3119,Low
6413,X1,2020,Africa,Black,Hybrid,Manual,4.9,186901,106163,6573,Low
34046,5 Series,2010,North America,Red,Electric,Automatic,4.6,78463,62252,1841,Low
12728,7 Series,2015,Middle East,Red,Electric,Manual,1.6,64478,89718,3314,Low
6925,i3,2024,North America,Grey,Petrol,Manual,3.2,24335,90234,8188,High
27995,i8,2013,Asia,Black,Electric,Automatic,2.2,132567,96613,2561,Low
37612,i8,2023,North America,Black,Hybrid,Manual,4.0,168,84734,4189,Low
39483,7 Series,2019,Asia,Black,Electric,Manual,1.8,98566,60614,1650,Low
3016,X1,2013,North America,White,Diesel,Manual,3.3,115667,30069,5848,Low
1640,X1,2019,Middle East,Black,Petrol,Automatic,4.4,162436,112518,156,Low
8883,5 Series,2015,Asia,Blue,Hybrid,Automatic,3.3,74822,47532,9471,High
37601,M5,2021,Europe,White,Hybrid,Automatic,4.8,198278,30413,6344,Low
12969,3 Series,2024,Asia,Silver,Petrol,Automatic,1.8,113831,105613,4078,Low
23463,5 Series,2010,Asia,Red,Hybrid,Automatic,2.7,11631,93907,5538,Low
15757,X5,2016,Middle East,Grey,Petrol,Manual,3.7,106873,80904,2853,Low
44076,3 Series,2011,Europe,Red,Hybrid,Automatic,4.4,19439,71055,3940,Low
4086,X1,2017,Africa,Grey,Petrol,Automatic,2.0,128275,53922,3576,Low
508,X3,2013,Africa,Black,Electric,Automatic,3.0,159170,119954,6751,Low
6354,i8,2019,Africa,Silver,Petrol,Manual,4.5,196457,107769,8645,High
29644,3 Series,2015,Middle East,Blue,Diesel,Manual,1.7,97656,79885,5876,Low
20815,X6,2020,Europe,Silver,Electric,Manual,2.1,111133,61703,2390,Low
6234,M5,2023,North America,Red,Petrol,Manual,2.0,198379,82939,7457,High
31989,i8,2012,Asia,Black,Electric,Manual,1.8,11158,64014,9548,High
12995,3 Series,2015,Asia,Silver,Diesel,Automatic,3.2,192309,78486,9465,High
42501,X1,2016,Middle East,White,Diesel,Manual,1.7,117104,37713,3054,Low
38920,3 Series,2018,North America,Blue,Hybrid,Automatic,2.0,8908,99268,7485,High
262,X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low
7891,i3,2012,North America,Silver,Electric,Manual,1.8,14863,53894,133,Low
10527,X1,2014,Europe,White,Diesel,Automatic,3.4,175064,36859,3930,Low
18600,M5,2021,Asia,White,Diesel,Manual,4.6,163911,77967,2137,Low
24114,7 Series,2022,Africa,Silver,Electric,Automatic,4.0,111406,98759,2843,Low
33498,M5,2024,Asia,Black,Hybrid,Automatic,2.6,160181,80160,3979,Low
13471,5 Series,2019,Europe,Grey,Electric,Automatic,4.7,154976,107206,2435,Low
31725,i3,2021,Asia,Silver,Electric,Automatic,4.3,141003,46551,4072,Low
23690,3 Series,2018,Africa,Grey,Electric,Automatic,3.6,111516,103242,2126,Low
10557,X1,2014,Asia,Blue,Diesel,Manual,3.6,109550,72062,9730,High
6556,X5,2010,South America,Black,Electric,Manual,4.9,176422,73241,3843,Low
